"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"133","26_P_L",566804.983314,730171.784887206,9271.34026698322,738535.616526125,10866.2213255036,125038.638966995,124915.006176898,2305603.59146371,0.0542324966138756,0.249859223725125
"134","26_P_M",0,283.259625829379,0,2949.34900631052,0,406.434804119923,618.139208040177,4257.1826443,0.095470370448894,0
"135","26_P_U",22812.3196087558,41392.0903616759,0,100276.161489245,4187.41216583591,47991.8667177413,20810.2316528297,237470.081996084,0.202096475961687,0.0960639732677229
"136","27_N_F",2534.06447458426,0,0,0,0,2819.89318318777,0,5353.95765777203,0.526693217137101,0.473306782862899
"137","27_N_L",347649.555089109,51013.4977512598,314429.456982908,23189.7394131107,1844.5725650036,132824.893630014,0,870951.715431405,0.152505461871928,0.760178779536672
"138","27_N_M",56531.4056410685,26272.0503864336,7585.73291617997,3459.18812183467,434.857627416856,117389.189903644,0,211672.424596578,0.55457951184418,0.302907375296749
"139","27_N_U",495360.887654574,216018.462396594,283971.467175647,56041.4058767265,2899.29915430574,1078875.75135214,0,2133167.27360999,0.505762377240273,0.365340479610559
"140","28_N_L",18121.6696841737,21537.1691410839,58621.7604627035,169.789759702993,290.457825641982,60631.1632565753,0,159372.010129881,0.380437965281127,0.481536438451988
"141","28_N_M",2031.8306296568,16604.4891017453,0,3171.88702739524,0,43090.5757753507,0,64898.782534148,0.663965857181952,0.0313076848334975
"142","28_N_U",28205.0535534669,343961.969298423,8477.36012049524,38750.6659705218,460.132180567305,526940.47870111,0,946795.659824584,0.556551430325249,0.0387437492909065
"143","28_P_F",17635.5394633506,597916.698296238,0,168675.695033068,0,450.625908141343,0,784678.558700798,0.000574280899031382,0.022474858357988
"144","28_P_L",4125.47045046575,154132.49975586,0,0,0,0,0,158257.970206326,0,0.0260680106353395
"145","28_P_U",1123.93839357051,14754.6482195456,0,0,0,0,0,15878.5866131161,0,0.0707832769348696
"146","29_N_F",509050.098404998,532575.922337217,527830.309870055,23063.7109974746,13192.795482773,1586048.37331384,0,3191761.21040636,0.496919496403026,0.324861523128493
"147","29_N_L",283744.14353357,1245891.86180022,22190.5605709944,628442.113456299,61633.8161640082,1080035.84589548,40040.0876260724,3361978.42904664,0.321250081964906,0.0909984137498819
"148","29_N_M",139.679974753788,741.614465314423,0,561.237745665309,0,9831.0594657505,0,11273.591651484,0.872043246701806,0.0123900154513225
"149","29_N_U",110228.963929705,280997.562194469,3521.82838547305,120664.898717188,15223.6619264806,811089.954227436,10305.7456204726,1352032.61500122,0.599904133397479,0.0841331718281626
"150","29_P_F",141860.218332967,215020.290943861,0,280063.808990137,105633.847154096,62095.9082375786,239293.69925291,1043967.77291155,0.0594806754085881,0.135885629819136
"151","29_P_L",25113.6422483602,56362.0512588293,14450.3258465053,147609.120550492,5508.50033644409,41136.5686147429,40377.0508685579,330557.259723932,0.124446120617948,0.119688698193795
"152","29_P_U",0,922.145487850269,0,30938.1782776249,0,0,0,31860.3237654752,0,0
